xArr2,yArr2,zArr2
-2.0,-3.0,10.48259673
-2.0,-2.9,9.761659656
-2.0,-2.8,10.16428333
-2.0,-2.7,9.9435311
-2.0,-2.6,9.722872504
-2.0,-2.5,8.532805902
-2.0,-2.4,8.564563926
-2.0,-2.3,8.332074395
-2.0,-2.2,7.633200254
-2.0,-2.1,8.252158759
-2.0,-2.0,7.961342563
-2.0,-1.9,7.220362948
-2.0,-1.8,6.650378512
-2.0,-1.7,6.440029232
-2.0,-1.6,6.352489476
-2.0,-1.5,6.092985989
-2.0,-1.4,5.44029529
-2.0,-1.3,5.050544348
-2.0,-1.2,5.594176584
-2.0,-1.1,4.627392852
-2.0,-1.0,4.179043218
-2.0,-0.9,4.019912603
-2.0,-0.8,4.086120415
-2.0,-0.7,3.101980176
-2.0,-0.6,2.976978004
-2.0,-0.5,2.753568185
-2.0,-0.4,2.868929154
-2.0,-0.3,2.728733471
-2.0,-0.2,2.437939594
-2.0,-0.1,1.841970568
-2.0,0.0,1.847262906
-2.0,0.1,1.564045877
-2.0,0.2,0.862558266
-2.0,0.3,0.581881229
-2.0,0.4,0.280792683
-2.0,0.5,0.252000132
-2.0,0.6,-0.455363209
-2.0,0.7,-0.974196697
-2.0,0.8,-0.935546599
-2.0,0.9,-1.452522321
-2.0,1.0,-1.072162665
-1.9,-3.0,10.37718863
-1.9,-2.9,9.651029737
-1.9,-2.8,9.676340881
-1.9,-2.7,9.124092206
-1.9,-2.6,8.533071785
-1.9,-2.5,8.730765597
-1.9,-2.4,8.803024972
-1.9,-2.3,8.55686822
-1.9,-2.2,8.271247386
-1.9,-2.1,7.72884924
-1.9,-2.0,7.294048837
-1.9,-1.9,7.318611048
-1.9,-1.8,6.34262113
-1.9,-1.7,6.280026595
-1.9,-1.6,6.3632641
-1.9,-1.5,6.271193617
-1.9,-1.4,5.593935367
-1.9,-1.3,4.910311329
-1.9,-1.2,4.43665095
-1.9,-1.1,5.104608211
-1.9,-1.0,4.356967604
-1.9,-0.9,3.731074607
-1.9,-0.8,3.480258949
-1.9,-0.7,3.936803585
-1.9,-0.6,3.334334652
-1.9,-0.5,3.388619166
-1.9,-0.4,2.877173544
-1.9,-0.3,2.756502981
-1.9,-0.2,2.241893014
-1.9,-0.1,1.768763113
-1.9,0.0,1.142379403
-1.9,0.1,0.878962803
-1.9,0.2,0.573952375
-1.9,0.3,0.191514398
-1.9,0.4,-0.157072297
-1.9,0.5,0.3337818
-1.9,0.6,-0.505451438
-1.9,0.7,-0.929271481
-1.9,0.8,-1.366229487
-1.9,0.9,-0.96722018
-1.9,1.0,-1.050391856
-1.7999999999999998,-3.0,9.447988158
-1.7999999999999998,-2.9,9.221078278
-1.7999999999999998,-2.8,9.371081987
-1.7999999999999998,-2.7,8.886407034
-1.7999999999999998,-2.6,9.153753203
-1.7999999999999998,-2.5,7.973567877
-1.7999999999999998,-2.4,8.582151403
-1.7999999999999998,-2.3,7.350456722
-1.7999999999999998,-2.2,7.295068538
-1.7999999999999998,-2.1,7.247533147
-1.7999999999999998,-2.0,6.863167699
-1.7999999999999998,-1.9,6.62273429
-1.7999999999999998,-1.8,6.815730679
-1.7999999999999998,-1.7,5.958430461
-1.7999999999999998,-1.6,6.25518242
-1.7999999999999998,-1.5,5.343903027
-1.7999999999999998,-1.4,4.971139908
-1.7999999999999998,-1.3,5.093251894
-1.7999999999999998,-1.2,5.20612364
-1.7999999999999998,-1.1,4.963097912
-1.7999999999999998,-1.0,4.478372596
-1.7999999999999998,-0.9,3.45081638
-1.7999999999999998,-0.8,3.410886281
-1.7999999999999998,-0.7,3.7064336
-1.7999999999999998,-0.6,2.948763602
-1.7999999999999998,-0.5,2.837264829
-1.7999999999999998,-0.4,2.775463527
-1.7999999999999998,-0.3,2.025495757
-1.7999999999999998,-0.2,2.312698824
-1.7999999999999998,-0.1,1.943402665
-1.7999999999999998,0.0,1.257752818
-1.7999999999999998,0.1,1.151123554
-1.7999999999999998,0.2,1.205209418
-1.7999999999999998,0.3,0.42960051
-1.7999999999999998,0.4,0.406561745
-1.7999999999999998,0.5,0.206699343
-1.7999999999999998,0.6,-0.170260927
-1.7999999999999998,0.7,-1.015720571
-1.7999999999999998,0.8,-0.353569798
-1.7999999999999998,0.9,-0.730545165
-1.7999999999999998,1.0,-1.672282735
-1.7000000000000002,-3.0,9.74233015
-1.7000000000000002,-2.9,8.78433851
-1.7000000000000002,-2.8,8.887014408
-1.7000000000000002,-2.7,8.785790365
-1.7000000000000002,-2.6,8.061209657
-1.7000000000000002,-2.5,8.485196204
-1.7000000000000002,-2.4,7.451728329
-1.7000000000000002,-2.3,7.902327453
-1.7000000000000002,-2.2,7.73618566
-1.7000000000000002,-2.1,6.93319636
-1.7000000000000002,-2.0,6.800324012
-1.7000000000000002,-1.9,6.099495097
-1.7000000000000002,-1.8,5.870666111
-1.7000000000000002,-1.7,5.811543632
-1.7000000000000002,-1.6,6.123112658
-1.7000000000000002,-1.5,4.945563548
-1.7000000000000002,-1.4,5.314485793
-1.7000000000000002,-1.3,4.704354395
-1.7000000000000002,-1.2,5.019942634
-1.7000000000000002,-1.1,4.146412672
-1.7000000000000002,-1.0,4.074065276
-1.7000000000000002,-0.9,4.063242439
-1.7000000000000002,-0.8,3.538055425
-1.7000000000000002,-0.7,3.702440563
-1.7000000000000002,-0.6,2.904385317
-1.7000000000000002,-0.5,3.020397744
-1.7000000000000002,-0.4,2.789517978
-1.7000000000000002,-0.3,2.057216219
-1.7000000000000002,-0.2,2.126142536
-1.7000000000000002,-0.1,1.869782781
-1.7000000000000002,0.0,1.659559188
-1.7000000000000002,0.1,0.727091591
-1.7000000000000002,0.2,1.246647843
-1.7000000000000002,0.3,0.306405356
-1.7000000000000002,0.4,0.499211421
-1.7000000000000002,0.5,0.338080034
-1.7000000000000002,0.6,-0.09310188
-1.7000000000000002,0.7,-0.172240986
-1.7000000000000002,0.8,-0.514471069
-1.7000000000000002,0.9,-1.223681528
-1.7000000000000002,1.0,-1.222220237
-1.6,-3.0,9.401764297
-1.6,-2.9,9.309696089
-1.6,-2.8,8.906296027
-1.6,-2.7,8.375218076
-1.6,-2.6,8.394890243
-1.6,-2.5,7.612441399
-1.6,-2.4,7.842783817
-1.6,-2.3,6.951181507
-1.6,-2.2,7.324534323
-1.6,-2.1,7.186993757
-1.6,-2.0,6.729857557
-1.6,-1.9,5.830967126
-1.6,-1.8,6.005663623
-1.6,-1.7,5.998782104
-1.6,-1.6,5.776826334
-1.6,-1.5,5.144422414
-1.6,-1.4,5.372153818
-1.6,-1.3,5.00682793
-1.6,-1.2,4.677528939
-1.6,-1.1,4.080755022
-1.6,-1.0,4.204689832
-1.6,-0.9,3.354748737
-1.6,-0.8,3.077887169
-1.6,-0.7,3.343835013
-1.6,-0.6,2.961119483
-1.6,-0.5,2.843388477
-1.6,-0.4,2.204703723
-1.6,-0.3,2.350537328
-1.6,-0.2,1.460579835
-1.6,-0.1,1.417023721
-1.6,0.0,1.341732683
-1.6,0.1,1.207431985
-1.6,0.2,0.737497689
-1.6,0.3,1.010013205
-1.6,0.4,0.395267566
-1.6,0.5,0.379165045
-1.6,0.6,-0.733248187
-1.6,0.7,-0.751331479
-1.6,0.8,-0.422128004
-1.6,0.9,-1.237577336
-1.6,1.0,-1.517537853
-1.5,-3.0,8.754070471
-1.5,-2.9,8.366044226
-1.5,-2.8,8.295324703
-1.5,-2.7,7.840814255
-1.5,-2.6,8.022761276
-1.5,-2.5,7.053954757
-1.5,-2.4,7.038704613
-1.5,-2.3,7.356728607
-1.5,-2.2,7.009429337
-1.5,-2.1,6.619023343
-1.5,-2.0,6.707832301
-1.5,-1.9,6.044652847
-1.5,-1.8,5.268644678
-1.5,-1.7,5.1799053
-1.5,-1.6,5.359754525
-1.5,-1.5,4.796418045
-1.5,-1.4,4.665046937
-1.5,-1.3,4.105827061
-1.5,-1.2,4.397748097
-1.5,-1.1,3.984254739
-1.5,-1.0,3.557985841
-1.5,-0.9,3.689098392
-1.5,-0.8,3.255854314
-1.5,-0.7,3.166515798
-1.5,-0.6,3.037728775
-1.5,-0.5,2.814062668
-1.5,-0.4,2.582195952
-1.5,-0.3,2.18416586
-1.5,-0.2,1.727228128
-1.5,-0.1,1.233318509
-1.5,0.0,0.83639562
-1.5,0.1,1.341126964
-1.5,0.2,0.793740452
-1.5,0.3,0.681403728
-1.5,0.4,0.322853145
-1.5,0.5,-0.213419857
-1.5,0.6,0.161902868
-1.5,0.7,-0.271990575
-1.5,0.8,-0.307403579
-1.5,0.9,-0.741206563
-1.5,1.0,-1.403525725
-1.4,-3.0,8.299872186
-1.4,-2.9,8.522806261
-1.4,-2.8,7.80902838
-1.4,-2.7,8.163440185
-1.4,-2.6,7.163950696
-1.4,-2.5,7.358741796
-1.4,-2.4,6.67397753
-1.4,-2.3,6.496274299
-1.4,-2.2,6.916343833
-1.4,-2.1,6.440999212
-1.4,-2.0,6.437785757
-1.4,-1.9,6.21958756
-1.4,-1.8,5.253839824
-1.4,-1.7,5.649973039
-1.4,-1.6,5.044612057
-1.4,-1.5,5.09078222
-1.4,-1.4,4.112084256
-1.4,-1.3,4.293277332
-1.4,-1.2,4.224082919
-1.4,-1.1,3.714462391
-1.4,-1.0,3.361581635
-1.4,-0.9,3.01488518
-1.4,-0.8,2.677178417
-1.4,-0.7,3.159949937
-1.4,-0.6,2.431678307
-1.4,-0.5,2.644506368
-1.4,-0.4,2.37181141
-1.4,-0.3,1.841957863
-1.4,-0.2,1.769472568
-1.4,-0.1,1.177690774
-1.4,0.0,1.242489368
-1.4,0.1,1.091699575
-1.4,0.2,0.966564016
-1.4,0.3,0.443776065
-1.4,0.4,0.034947203
-1.4,0.5,-0.160915471
-1.4,0.6,-0.624718616
-1.4,0.7,-0.333357611
-1.4,0.8,-0.542234166
-1.4,0.9,-1.427505687
-1.4,1.0,-1.284853056
-1.2999999999999998,-3.0,8.443542085
-1.2999999999999998,-2.9,7.93713152
-1.2999999999999998,-2.8,7.78595391
-1.2999999999999998,-2.7,7.482459685
-1.2999999999999998,-2.6,6.652871006
-1.2999999999999998,-2.5,6.642450093
-1.2999999999999998,-2.4,7.009022611
-1.2999999999999998,-2.3,6.931098366
-1.2999999999999998,-2.2,6.425508768
-1.2999999999999998,-2.1,5.774118709
-1.2999999999999998,-2.0,5.298643136
-1.2999999999999998,-1.9,5.603751337
-1.2999999999999998,-1.8,5.634035502
-1.2999999999999998,-1.7,5.488026789
-1.2999999999999998,-1.6,4.90900187
-1.2999999999999998,-1.5,5.02561465
-1.2999999999999998,-1.4,4.79946384
-1.2999999999999998,-1.3,3.955046867
-1.2999999999999998,-1.2,3.802249064
-1.2999999999999998,-1.1,4.151616575
-1.2999999999999998,-1.0,3.486964148
-1.2999999999999998,-0.9,3.178689614
-1.2999999999999998,-0.8,3.408128918
-1.2999999999999998,-0.7,2.849141094
-1.2999999999999998,-0.6,2.456070281
-1.2999999999999998,-0.5,2.526561776
-1.2999999999999998,-0.4,2.187241762
-1.2999999999999998,-0.3,1.75371883
-1.2999999999999998,-0.2,1.731029882
-1.2999999999999998,-0.1,1.221837429
-1.2999999999999998,0.0,1.409034335
-1.2999999999999998,0.1,1.099653881
-1.2999999999999998,0.2,0.430480899
-1.2999999999999998,0.3,0.419574555
-1.2999999999999998,0.4,0.186126663
-1.2999999999999998,0.5,0.030266466
-1.2999999999999998,0.6,-0.59182236
-1.2999999999999998,0.7,-0.685043924
-1.2999999999999998,0.8,-0.729519808
-1.2999999999999998,0.9,-1.128046582
-1.2999999999999998,1.0,-1.420161885
-1.2000000000000002,-3.0,7.609928932
-1.2000000000000002,-2.9,7.017786382
-1.2000000000000002,-2.8,6.996814297
-1.2000000000000002,-2.7,7.506935227
-1.2000000000000002,-2.6,6.42872868
-1.2000000000000002,-2.5,6.479428341
-1.2000000000000002,-2.4,6.448650106
-1.2000000000000002,-2.3,6.576491416
-1.2000000000000002,-2.2,5.458589204
-1.2000000000000002,-2.1,5.511859951
-1.2000000000000002,-2.0,5.056159533
-1.2000000000000002,-1.9,5.16865612
-1.2000000000000002,-1.8,4.822779596
-1.2000000000000002,-1.7,4.683742868
-1.2000000000000002,-1.6,4.453068318
-1.2000000000000002,-1.5,4.236124496
-1.2000000000000002,-1.4,3.76558217
-1.2000000000000002,-1.3,4.26601888
-1.2000000000000002,-1.2,4.026515664
-1.2000000000000002,-1.1,3.099360336
-1.2000000000000002,-1.0,3.449302618
-1.2000000000000002,-0.9,3.211812576
-1.2000000000000002,-0.8,2.795729614
-1.2000000000000002,-0.7,2.797425408
-1.2000000000000002,-0.6,2.829082432
-1.2000000000000002,-0.5,2.502587183
-1.2000000000000002,-0.4,2.063378654
-1.2000000000000002,-0.3,1.583973845
-1.2000000000000002,-0.2,1.077890992
-1.2000000000000002,-0.1,1.715709879
-1.2000000000000002,0.0,0.727688635
